tit,tipo,prov,label,type,id,localidad,coord
Público,CEIP,Huesca,"CEIP SAN JUAN DE LA PEÑA",cen,22002673,Jaca,"42.56766, -0.554639"
Público,CEE,Zaragoza,"CEE JEAN PIAGET",cen,50018131,Zaragoza,"41.687976, -0.873452"
Público,CEIP,Zaragoza,"CEIP DOMINGO JIMÉNEZ BELTRÁN",cen,50001222,Calatorao,"41.528077, -1.342005"
Público,CEIP,Zaragoza,"CEIP GALO PONTE",cen,50017904,"San Mateo De Gállego","41.833817, -0.764892"
Público,CEIP,Zaragoza,"CEIP EL ESPARTIDERO",cen,50017874,Zaragoza,"41.669392, -0.822729"
Público,EEI,Huesca,"EEI DE LA COMARCA DE SOBRARBE",cen,22010724,Aínsa-Sobrarbe,"42.4166527, 0.1434279"
Público,CEIP,Zaragoza,"CEIP SANTO CRISTO DE SANTIAGO",cen,50001301,Cariñena,"41.339006, -1.22734"
"Privado Concertado",CPRI-EE,Zaragoza,"CPRI-EE LA PURÍSIMA PARA NIÑOS SORDOS",cen,50007376,Zaragoza,"41.644673, -0.898937"
Público,IES,Teruel,"IES PEDRO LAÍN ENTRALGO",cen,44004239,Híjar,"41.171787, -0.452149"
Público,CEIP,Zaragoza,"CEIP REINO DE ARAGÓN",cen,50017898,"Puebla De Alfindén (La)","41.631893, -0.757091"
Público,CEIP,Huesca,"CEIP ALTO ARAGÓN",cen,22000721,Barbastro,"42.032941, 0.131694"
Público,IES,Zaragoza,"IES RÍO ARBA",cen,50008770,Tauste,"41.915144, -1.255668"
Público,CEIP,Zaragoza,"CEIP JOSEFA AMAR Y BORBÓN",cen,50011847,Zaragoza,"41.674533, -0.88304"
Público,CEIP,Zaragoza,"CEIP RAMIRO SOLÁNS",cen,50008691,Zaragoza,"41.652459, -0.924027"
Público,CEIP,Zaragoza,"CEIP MARIE CURIE",cen,50018258,Zaragoza,"41.659517, -0.863937"
Público,CEIP,Huesca,"CEIP MIGUEL SERVET",cen,22001875,Fraga,"41.519164, 0.350948"
Público,CEIP,Huesca,"CEIP PÍO XII",cen,22002338,Huesca,"42.142132, -0.39668"
Público,CEIP,Zaragoza,"CEIP BASILIO PARAÍSO",cen,50006311,Zaragoza,"41.638406, -0.893881"
Público,EEI,Huesca,"EEI DE SARIÑENA",cen,22010670,Sariñena,"41.7921083, -0.1518738"
Público,CEIP,Teruel,"CEIP SAN MIGUEL",cen,44002221,"Mora De Rubielos","40.248434, -0.751512"
"Privado Concertado",CPRI-INPRISE,Zaragoza,"CPRI-INPRISE ESCUELAS PÍAS DE SANTA ENGRACIA",cen,50006761,Zaragoza,"41.633515, -0.871056"
Público,CEIP,Zaragoza,"CEIP MIRALBUENO",cen,50018261,Zaragoza,"41.656325, -0.932817"
Público,CEIP,Zaragoza,"CEIP MARÍA DOMÍNGUEZ",cen,50002329,Gallur,"41.866063, -1.316638"
Público,IES,Zaragoza,"IES JOSÉ MANUEL BLECUA",cen,50009166,Zaragoza,"41.625069, -0.879251"
"Privado Concertado",CPRI-INPRISE,Zaragoza,"CPRI-INPRISE COMPAÑÍA DE MARÍA",cen,50006633,Zaragoza,"41.649646, -0.886266"
Público,IES,Zaragoza,"IES CINCO VILLAS",cen,50009129,"Ejea De Los Caballeros","42.122928, -1.137662"
