tipo,prov,coord,label,id,type
CEE,Zaragoza,,"CEE DE CALATAYUD",50019408,cen
CEE,Huesca,"41.911168, 0.182848","CEE LA ALEGRÍA",22005157,cen
CEE,Teruel,"40.351859, -1.113153","CEE ARBOLEDA",44003259,cen
CEE,Zaragoza,"41.661587, -0.883011","CEE ANGEL RIVIÈRE",50017369,cen
CEE,Zaragoza,"41.630469, -0.898715","CEE RINCÓN DE GOYA",50011537,cen
CEE,Teruel,"40.974559, -0.448783","CEE GLORIA FUERTES",44004148,cen
CEE,Zaragoza,"41.667477, -0.894017","CEE ALBORADA",50010387,cen
CEE,Zaragoza,"41.687976, -0.873452","CEE JEAN PIAGET",50018131,cen
CEIP,Zaragoza,"41.633074, -0.873851","CEIP MARÍA MOLINER",50009452,cen
CEIP,Zaragoza,"41.323139, -0.346019","CEIP DANIEL FEDERIO",50004326,cen
CEIP,Teruel,"40.831504, -0.24323","CEIP VALERO SERRANO",44002061,cen
CEIP,Zaragoza,"41.635884, -0.905461","CEIP ELISEO GODOY BELTRÁN",50008381,cen
CEIP,Zaragoza,"41.662678, -0.902709","CEIP LA ALMOZARA",50006438,cen
CEIP,Zaragoza,"41.718776, -1.024599","CEIP RICARDO MUR",50005550,cen
CEIP,Huesca,"42.304945, 0.040263","CEIP DE PAÚLES DE SARSA",22005431,cen
CEIP,Zaragoza,"41.511017, -0.626955","CEIP LUIS GARCÍA SÁINZ",50002275,cen
CEIP,Zaragoza,"41.677622, -0.897084","CEIP JOSÉ ANTONIO LABORDETA SUBÍAS",50011801,cen
CEIP,Zaragoza,"41.657422, -0.92411","CEIP JULIO VERNE",50019019,cen
CEIP,Huesca,"41.861787, 0.428686","CEIP SAN MIGUEL",22004271,cen
CEIP,Huesca,"42.36999, 0.27071","CEIP LA FUEVA",22002016,cen
CEIP,Zaragoza,"41.652459, -0.924027","CEIP RAMIRO SOLÁNS",50008691,cen
CEIP,Zaragoza,"41.651654, -0.891969","CEIP JOAQUÍN COSTA",50006013,cen
CEIP,Zaragoza,"41.351285, -1.649232","CEIP AUGUSTA BÍLBILIS",50008666,cen
CEIP,Zaragoza,"41.683147, -0.825782","CEIP HERMANOS ARGENSOLA",50005631,cen
CEIP,Teruel,"41.22085, -0.380832","CEIP LUIS TURÓN",44001706,cen
CEIP,Zaragoza,"41.400496, -1.168243","CEIP DIEGO ESCOLANO",50017667,cen
CEIP,Zaragoza,"41.354455, -1.036758","CEIP SAN BLAS",50005291,cen
CEIP,Zaragoza,"41.523596, -1.59863","CEIP DIPUTACIÓN PROVINCIAL",50000904,cen
CEIP,Zaragoza,"41.375533, 0.304468","CEIP MARÍA QUINTANA",50003048,cen
CEIP,Zaragoza,"41.110735, -1.420173","CEIP PEDRO SÁNCHEZ CIRUELO",50001702,cen
CEIP,Zaragoza,"41.659517, -0.863937","CEIP MARIE CURIE",50018258,cen
CEIP,Zaragoza,"41.917714, -1.25409","CEIP ALFONSO I EL BATALLADOR",50004703,cen
CEIP,Zaragoza,"41.331339, -1.645686","CEIP BALTASAR GRACIÁN",50001064,cen
CEIP,Zaragoza,"41.627021, -0.890401","CEIP DOMINGO MIRAL",50005951,cen
CEIP,Teruel,"40.329047, -1.095607","CEIP LA FUENFRESCA",44004306,cen
CEIP,Zaragoza,"41.700386, -0.971411","CEIP FERNÁNDEZ VIZARRA",50005641,cen
CEIP,Zaragoza,"41.640942, -0.931356","CEIP JERÓNIMO BLANCAS Y TOMÁS",50005999,cen
CEIP,Huesca,"41.619207, 0.192458","CEIP FRANCISCO GALIAY SARAÑANA",22000706,cen
CEIP,Zaragoza,"41.409136, -1.179779","CEIP MATEO VALERO",50011306,cen
CEIP,Zaragoza,"41.654605, -0.911007","CEIP ANA MAYAYO",50005896,cen
CEIP,Zaragoza,"41.647264, -0.865093","CEIP JULIÁN SANZ IBÁÑEZ",50006049,cen
CEIP,Zaragoza,"41.659258, -0.867356","CEIP HILARIÓN GIMENO",50006220,cen
CEIP,Zaragoza,"41.758977, -0.797703","CEIP FLORENCIO JARDIEL",50005707,cen
